Weather,latitude,longitude,Ship_Type,Accident_Type
풍랑주의보,36.45361111,129.4352778,어선,전복
풍랑주의보,33.20833333,126.3083333,어선,운항저해
황천5급,37.31666667,124.9333333,유조선,기관이상
황천5급,34.24777778,127.2425,기타,운항저해
풍랑주의보,32.31666667,125.45,어선,기관이상
황천4급,33.55,126.0166667,어선,화재
풍랑주의보,35.49361111,129.3972222,기타,화재
황천4급,33.13333333,125.25,어선,기관이상
황천5급,36.99722222,126.0972222,화물선,충돌
양호,36.11666667,126.3333333,어선,기관이상
양호,34.69111111,128.6008333,어선,운항저해
양호,35.11944444,129.1861111,어선,기관이상
양호,35.05333333,129.0625,화물선,화재
양호,36.11388889,125.9861111,어선,화재
양호,33.81666667,125.7166667,어선,기관이상
양호,35.15777778,129.1916667,어선,충돌
황천4급,35.91666667,130.3333333,어선,충돌
양호,34.31666667,127.2666667,어선,기관이상
양호,35.08,128.9983333,기타,화재
황천4급,36.56666667,125.7833333,어선,전복
풍랑주의보,33.28333333,128.3833333,어선,기관이상
양호,35.25805556,129.2519444,어선,충돌
양호,34.2225,127.8522222,어선,기관이상
양호,34.91444444,129.0141667,어선,침수
황천5급,35.40555556,130.0269444,기타,충돌
황천4급,28.41666667,124.3333333,어선,기관이상
양호,33.225,126.5166667,어선,기관이상
황천5급,36.25,129.6666667,어선,침수
황천5급,35.36666667,130.4166667,어선,기관이상
황천5급,35.26666667,130.0333333,어선,기관이상
양호,37.53888889,129.15,어선,충돌
양호,34.94444444,127.8222222,어선,침수
양호,36.05,126.2166667,어선,전복
황천5급,32.51666667,126.7333333,어선,기관이상
양호,35.46388889,129.4,기타,기관이상
황천5급,35.95,130.9,어선,기관이상
양호,34.745,128.4569444,어선,충돌
황천5급,36.245,129.6366667,화물선,충돌
양호,33.36138889,127.4366667,어선,기관이상
양호,34.5375,128.075,어선,충돌
양호,32.76666667,126.05,어선,기관이상
황천5급,36.10194444,129.5272222,어선,기관이상
양호,34.75388889,128.3694444,유조선,충돌
풍랑주의보,35.62416667,129.4586111,어선,운항저해
양호,35.25,129.7,어선,기관이상
양호,32.78333333,125.5333333,어선,기관이상
풍랑주의보,38.51666667,129.4,어선,기관이상
황천5급,36.38333333,129.4666667,어선,침수
황천4급,36.2,129.7166667,어선,기관이상
황천4급,27.08333333,122.9166667,어선,기관이상
양호,33.55,126.7833333,어선,침수
황천4급,32.83333333,125.9833333,어선,충돌
양호,33.96666667,126.3472222,어선,침수
양호,38.09,128.7083333,어선,침수
양호,33.47916667,126.975,어선,침수
양호,34.92305556,128.4861111,기타,충돌
양호,34.73333333,128.7,어선,기관이상
황천4급,27.38333333,123.6,어선,충돌
양호,33.41666667,126.2611111,어선,화재
양호,35.65694444,126.1138889,어선,기관이상
양호,34.55,125.6,어선,기관이상
양호,34.7725,128.2341667,어선,기관이상
양호,34.68333333,128.0897222,어선,화재
양호,35.36666667,126.3166667,어선,기관이상
황천5급,32.28055556,126.9472222,어선,기관이상
황천5급,28.83333333,125.8333333,어선,기관이상
양호,34.53333333,125.8666667,기타,기관이상
양호,35.43361111,129.4991667,어선,기관이상
양호,33.53111111,126.5747222,어선,침수
황천5급,28.33333333,124.45,어선,기관이상
풍랑주의보,32.16666667,127,어선,침수
풍랑주의보,36.36666667,129.8,어선,기관이상
양호,39.33333333,129.3833333,어선,운항저해
풍랑주의보,35.76666667,129.7,어선,기관이상
풍랑주의보,36.93611111,126.5297222,어선,화재
황천4급,35.60277778,130.2763889,화물선,충돌
양호,36.16666667,126.4166667,어선,기관이상
황천4급,35.37,129.7127778,어선,기관이상
양호,34.67555556,128.7852778,어선,충돌
양호,38.19694444,128.5263889,어선,침수
양호,34.23333333,125.5833333,어선,전복
양호,34.54861111,128.3738889,어선,기관이상
양호,34.52027778,127.1363889,어선,기관이상
황천5급,35.55,130.1666667,어선,기관이상
황천5급,32.51666667,126.8666667,어선,기관이상
양호,34.44722222,127.3166667,어선,운항저해
양호,35.97722222,126.5594444,어선,기관이상
양호,34.31666667,126.15,어선,화재
양호,35.20527778,128.5847222,화물선,화재
양호,34.81388889,128.3694444,어선,침수
양호,34.92388889,128.5208333,어선,운항저해
풍랑주의보,35.50444444,129.4,화물선,충돌
양호,34.07527778,128.6419444,어선,화재
양호,34.54722222,128.3916667,유조선,충돌
양호,35.03361111,128.6208333,어선,충돌
양호,34.46583333,127.4530556,어선,침수
황천4급,35.24166667,130.5333333,어선,기관이상
양호,34.88722222,128.4211111,어선,기관이상
양호,35.14916667,129.1677778,모터보트,기관이상
양호,34.39722222,127.0666667,요트,기관이상
양호,33.4,126.2611111,어선,침수
양호,34.74888889,128.5325,어선,기관이상
황천5급,35.2875,129.7361111,어선,기관이상
양호,35.17833333,129.2108333,기타,기관이상
황천5급,35.45277778,130.2388889,어선,기관이상
양호,36.68055556,129.4602778,어선,화재
양호,37.2,129.45,어선,기관이상
황천5급,35.35,129.65,어선,기관이상
양호,30.43333333,125.7166667,어선,기관이상
황천5급,35.43333333,129.7666667,화물선,충돌
황천5급,35.28333333,130.0166667,어선,기관이상
저시정,35.31666667,130.3666667,어선,기관이상
양호,36.2,126.15,어선,기관이상
양호,34.72083333,127.7941667,어선,기관이상
풍랑주의보,27.71666667,123.6583333,어선,전복
황천4급,34.65277778,128.5666667,어선,침수
풍랑경보,35.13333333,130.9,어선,침수
양호,35.06194444,129.05,기타,충돌
황천4급,37.98972222,128.7486111,모터보트,침수
양호,34.70833333,127.7166667,어선,운항저해
양호,34.56583333,128.5336111,어선,운항저해
황천4급,37.43333333,129.1833333,어선,침수
양호,34.725,127.7194444,어선,화재
양호,35.08722222,128.4683333,어선,화재
풍랑경보,35.13333333,135.8333333,어선,침수
풍랑주의보,35.85,131.85,어선,기관이상
양호,35.98333333,129.55,어선,침수
양호,37.05,129.4166667,어선,침수
풍랑주의보,33.06666667,127.6666667,어선,충돌
양호,35.2,129.2194444,어선,기관이상
양호,34.73333333,127.7605556,어선,운항저해
양호,35.175,129.2222222,어선,기관이상
황천5급,36.65,129.7166667,어선,기관이상
양호,34.72305556,127.7130556,어선,기관이상
양호,35.0075,128.9847222,어선,기관이상
저시정,37.15305556,126.4066667,어선,운항저해
양호,35.11666667,129.5166667,어선,기관이상
양호,35.09027778,129.0497222,기타,화재
양호,36.33333333,126.5166667,어선,침수
양호,36.03333333,129.5777778,어선,침수
양호,35.06666667,129,어선,화재
양호,29.28333333,126.3666667,어선,기관이상
양호,35.01666667,125.3833333,어선,기관이상
양호,36.12666667,126.2138889,어선,기관이상
황천3급,37.96944444,128.7661111,어선,충돌
황천5급,35.41888889,129.9247222,어선,충돌
황천5급,32.28138889,126.4086111,어선,기관이상
양호,35.08333333,129.1166667,어선,기관이상
양호,35.93888889,126.5166667,어선,침수
황천4급,37.35222222,129.3166667,화물선,기관이상
풍랑주의보,38.12527778,128.6333333,어선,운항저해
풍랑주의보,35.83333333,131.8166667,어선,기관이상
양호,34.05,125.2,어선,기관이상
황천5급,33.35888889,126.96,어선,기관이상
양호,37.2,126.4333333,어선,기관이상
양호,35.11111111,128.6838889,어선,전복
양호,37.35277778,129.6652778,어선,기관이상
양호,35.13527778,129.2083333,어선,기관이상
양호,38.07833333,128.6997222,어선,기관이상
양호,34.71666667,128.4833333,어선,기관이상
양호,34.57777778,127.7197222,기타,화재
양호,35.05638889,128.6972222,어선,기관이상
양호,35.99583333,126.7144444,어선,침수
양호,38.21083333,128.6330556,어선,기관이상
풍랑주의보,37.31666667,125.9833333,어선,기관이상
황천4급,37.03333333,134.6666667,어선,화재
양호,28.45,125.4,어선,기관이상
양호,34.08333333,125.2166667,어선,기관이상
양호,37.96861111,124.7472222,어선,화재
양호,35.63333333,129.5,어선,화재
양호,34.38638889,125.9705556,화물선,운항저해
양호,34.84111111,128.2130556,어선,기관이상
양호,36.55,129.5833333,어선,화재
양호,35.98333333,128.7833333,어선,기관이상
황천5급,33.45,127.1666667,어선,충돌
황천5급,32.43333333,125.55,어선,기관이상
