Date,Station,Location,Latitude,Longitude,Weather,Cause,Accident_type,Ship_num,Total_people,Rescued_people,Injured_people,Dead_people,Missed_people,Vessel_type,Tons,Seasons,Month,Hour
2011/01/01 11:00,포항,항계 내,36.45361111,129.4352778,풍랑주의보,기상악화,전복,1,0,0,0,0,0,어선,4.93,겨울,1,11
2011/01/01 20:00,서귀포,영해,33.20833333,126.3083333,풍랑주의보,기상악화,좌초,3,54,54,0,0,0,어선,500,겨울,1,20
2011/01/02 0:38,인천,영해-EEZ,37.31666667,124.9333333,황천5급,정비불량,기관이상,1,3,3,0,0,0,유조선,186,겨울,1,0
2011/01/03 10:20,서귀포,영해-EEZ,32.31666667,125.45,풍랑주의보,정비불량,기관이상,1,9,9,0,0,0,어선,75,겨울,1,10
2011/01/03 10:30,제주,영해-EEZ,33.55,126.0166667,황천4급,화기취급부주의,화재,1,11,11,0,0,0,어선,39,겨울,1,10
2011/01/04 17:00,제주,영해-EEZ,33.13333333,125.25,황천4급,운항부주의,추진기이상,1,9,9,0,0,0,어선,54,겨울,1,17
2011/01/05 6:25,태안,영해,36.99722222,126.0972222,황천5급,운항부주의,충돌,2,250,250,0,0,0,화물선,32210,겨울,1,6
2011/01/05 9:21,군산,영해,36.11666667,126.3333333,양호,운항부주의,기관이상,1,5,5,0,0,0,어선,7.93,겨울,1,9
2011/01/05 14:20,통영,영해,34.69111111,128.6008333,양호,운항부주의,좌초,1,2,2,0,0,0,어선,2.58,겨울,1,14
2011/01/07 6:20,부산,영해,35.11944444,129.1861111,양호,정비불량,기관이상,1,4,4,0,0,0,어선,6.67,겨울,1,6
2011/01/07 6:50,부산,항계 내,35.05333333,129.0625,양호,기타,화재,1,9,5,0,4,0,화물선,1412,겨울,1,6
2011/01/07 7:52,군산,항계 내,36.11388889,125.9861111,양호,화기취급부주의,화재,1,10,10,0,0,0,어선,57,겨울,1,7
2011/01/07 10:50,제주,영해-EEZ,33.81666667,125.7166667,양호,정비불량,기관이상,1,13,13,0,0,0,어선,89,겨울,1,10
2011/01/07 16:05,부산,영해,35.15777778,129.1916667,양호,운항부주의,충돌,2,4,4,0,0,0,어선,9.77,겨울,1,16
2011/01/08 1:00,인천,항계 내,36.43333333,126.6,양호,관리소홀,표류,1,0,0,0,0,0,어선,6.67,겨울,1,1
2011/01/08 2:03,포항,영해-EEZ,35.91666667,130.3333333,황천4급,운항부주의,충돌,2,16,16,0,0,0,어선,79,겨울,1,2
2011/01/08 11:40,여수,영해,34.31666667,127.2666667,양호,운항부주의,추진기이상,1,2,2,0,0,0,어선,3.95,겨울,1,11
2011/01/08 15:00,태안,영해,36.56666667,125.7833333,황천4급,기상악화,전복,1,6,3,0,1,2,어선,19,겨울,1,15
2011/01/09 3:30,서귀포,영해-EEZ,33.28333333,128.3833333,풍랑주의보,정비불량,기관이상,1,9,9,0,0,0,어선,67,겨울,1,3
2011/01/09 7:51,울산,영해,35.25805556,129.2519444,양호,운항부주의,충돌,2,4,4,0,0,0,어선,4.96,겨울,1,7
2011/01/09 9:07,여수,영해,34.2225,127.8522222,양호,운항부주의,추진기이상,1,4,4,0,0,0,어선,7.93,겨울,1,9
2011/01/09 18:46,부산,영해,34.91444444,129.0141667,양호,기타,침수,1,8,8,0,0,0,낚시어선,4.26,겨울,1,18
2011/01/10 13:40,부산,항계 내,35.04138889,129.0330556,양호,정비불량,표류,1,2,2,0,0,0,어선,2.98,겨울,1,13
2011/01/11 5:00,서귀포,공해,28.41666667,124.3333333,황천4급,정비불량,기관이상,1,9,9,0,0,0,어선,29,겨울,1,5
2011/01/11 7:00,서귀포,영해,33.225,126.5166667,양호,정비불량,기관이상,1,1,1,0,0,0,어선,3.81,겨울,1,7
2011/01/11 10:46,포항,영해,36.25,129.6666667,황천5급,기상악화,침수,1,4,4,0,0,0,어선,6.4,겨울,1,10
2011/01/11 14:00,울산,영해-EEZ,35.36666667,130.4166667,황천5급,운항부주의,추진기이상,1,5,5,0,0,0,어선,20,겨울,1,14
2011/01/12 5:00,울산,영해-EEZ,35.26666667,130.0333333,황천5급,운항부주의,추진기이상,1,4,4,0,0,0,어선,39,겨울,1,5
2011/01/12 8:10,동해,영해,37.53888889,129.15,양호,운항부주의,충돌,2,3,3,0,0,0,어선,4.56,겨울,1,8
2011/01/12 14:20,여수,항계 내,34.94444444,127.8222222,양호,관리소홀,침수,1,1,1,0,0,0,어선,1.24,겨울,1,14
2011/01/12 14:41,군산,영해,36.05,126.2166667,양호,운항부주의,전복,1,4,4,0,0,0,어선,19,겨울,1,14
2011/01/12 16:45,서귀포,영해-EEZ,32.51666667,126.7333333,황천5급,정비불량,기관이상,1,6,6,0,0,0,어선,9.77,겨울,1,16
2011/01/13 18:00,포항,영해-EEZ,35.95,130.9,황천5급,정비불량,기관이상,1,7,7,0,0,0,어선,71,겨울,1,18
2011/01/14 1:53,통영,영해,34.745,128.4569444,양호,운항부주의,충돌,2,2,2,0,0,0,어선,138,겨울,1,1
2011/01/14 6:39,포항,영해,36.245,129.6366667,황천5급,운항부주의,충돌,2,12,10,0,1,1,화물선,496,겨울,1,6
2011/01/14 16:00,서귀포,영해-EEZ,33.36138889,127.4366667,양호,정비불량,기관이상,1,5,5,0,0,0,어선,15,겨울,1,16
2011/01/14 21:15,통영,영해,34.5375,128.075,양호,운항부주의,충돌,1,11,11,0,0,0,어선,18,겨울,1,21
2011/01/14 23:10,서귀포,영해-EEZ,32.76666667,126.05,양호,정비불량,기관이상,1,13,13,0,0,0,어선,40,겨울,1,23
2011/01/15 8:46,포항,영해,36.10194444,129.5272222,황천5급,정비불량,기관이상,1,9,9,0,0,0,낚시어선,7.31,겨울,1,8
2011/01/15 12:53,통영,영해,34.72666667,128.4388889,양호,정비불량,표류,1,2,2,0,0,0,어선,4.11,겨울,1,12
2011/01/17 6:15,통영,영해,34.75388889,128.3694444,양호,운항부주의,충돌,2,7,7,0,0,0,유조선,209,겨울,1,6
2011/01/18 3:34,울산,항계 내,35.62416667,129.4586111,풍랑주의보,정비불량,좌초,1,5,5,0,0,0,어선,15,겨울,1,3
2011/01/18 15:15,울산,영해-EEZ,35.25,129.7,양호,정비불량,기관이상,1,15,15,0,0,0,어선,29,겨울,1,15
2011/01/19 8:00,제주,영해-EEZ,32.78333333,125.5333333,양호,정비불량,기관이상,1,10,10,0,0,0,어선,39,겨울,1,8
2011/01/19 9:10,속초,영해-EEZ,38.51666667,129.4,풍랑주의보,정비불량,기관이상,1,11,11,0,0,0,어선,79,겨울,1,9
2011/01/19 16:48,포항,영해,36.38333333,129.4666667,황천5급,기타,침수,1,9,9,0,0,0,낚시어선,4.33,겨울,1,16
2011/01/19 18:40,포항,영해-EEZ,36.2,129.7166667,황천4급,정비불량,기관이상,1,4,4,0,0,0,어선,3.28,겨울,1,18
2011/01/19 21:00,서귀포,공해,27.08333333,122.9166667,황천4급,정비불량,기관이상,1,9,9,0,0,0,어선,39,겨울,1,21
2011/01/20 6:12,제주,항계 내,33.55,126.7833333,양호,기타,침수,1,0,0,0,0,0,어선,1.73,겨울,1,6
2011/01/20 22:25,서귀포,영해-EEZ,32.83333333,125.9833333,황천4급,운항부주의,충돌,2,23,23,0,0,0,어선,35,겨울,1,22
2011/01/21 7:00,제주,영해,33.96666667,126.3472222,양호,운항부주의,침수,1,1,1,0,0,0,낚시어선,4.9,겨울,1,7
2011/01/21 9:34,속초,영해,38.09,128.7083333,양호,재질불량,침수,1,4,4,0,0,0,어선,13,겨울,1,9
2011/01/21 10:00,서귀포,영해,33.47916667,126.975,양호,정비불량,침수,1,1,1,0,0,0,어선,3.07,겨울,1,10
2011/01/21 12:00,통영,영해,34.73333333,128.7,양호,정비불량,기관이상,1,4,4,0,0,0,어선,9.77,겨울,1,12
2011/01/21 16:30,서귀포,공해,27.38333333,123.6,황천4급,운항부주의,충돌,1,8,8,0,0,0,어선,48,겨울,1,16
2011/01/22 3:50,제주,항계 내,33.41666667,126.2611111,양호,화기취급부주의,화재,1,0,0,0,0,0,어선,29,겨울,1,3
2011/01/22 9:40,군산,항계 내,35.65694444,126.1138889,양호,정비불량,기관이상,1,4,4,0,0,0,어선,7.93,겨울,1,9
2011/01/22 11:20,목포,영해,34.55,125.6,양호,운항부주의,추진기이상,1,9,9,0,0,0,어선,7.93,겨울,1,11
2011/01/22 12:47,통영,영해,34.7725,128.2341667,양호,정비불량,기관이상,1,2,2,0,0,0,어선,3.43,겨울,1,12
2011/01/22 13:50,통영,영해,34.68333333,128.0897222,양호,관리소홀,화재,1,2,2,0,0,0,어선,41,겨울,1,13
2011/01/22 13:50,목포,협수로,35.36666667,126.3166667,양호,정비불량,기관이상,1,2,2,0,0,0,어선,9.77,겨울,1,13
2011/01/22 14:30,서귀포,영해-EEZ,32.28055556,126.9472222,황천5급,정비불량,기관이상,1,6,6,0,0,0,어선,9.77,겨울,1,14
2011/01/22 17:00,서귀포,EEZ-30마일 이내,28.83333333,125.8333333,황천5급,정비불량,기관이상,1,8,8,0,0,0,어선,29,겨울,1,17
2011/01/23 5:59,울산,영해,35.43361111,129.4991667,양호,정비불량,기관이상,1,1,1,0,0,0,어선,7.97,겨울,1,5
2011/01/23 6:00,제주,항계 내,33.53111111,126.5747222,양호,관리소홀,침수,1,0,0,0,0,0,어선,3.86,겨울,1,6
2011/01/23 9:30,서귀포,공해,28.33333333,124.45,황천5급,정비불량,기관이상,1,10,10,0,0,0,어선,29,겨울,1,9
2011/01/23 21:12,서귀포,EEZ-30마일 이내,32.16666667,127,풍랑주의보,기타,침수,1,6,6,0,0,0,어선,9.77,겨울,1,21
2011/01/24 3:00,포항,영해-EEZ,36.36666667,129.8,풍랑주의보,운항부주의,추진기이상,1,6,6,0,0,0,어선,13,겨울,1,3
2011/01/24 6:35,포항,영해,29.33333333,129.3833333,양호,운항부주의,좌초,1,10,10,0,0,0,어선,92.38,겨울,1,6
2011/01/24 16:30,포항,영해,35.76666667,129.7,풍랑주의보,운항부주의,추진기이상,1,6,6,0,0,0,어선,19,겨울,1,16
2011/01/24 21:55,군산,항계 내,36.93611111,126.5297222,풍랑주의보,화기취급부주의,화재,1,2,2,0,0,0,어선,9.77,겨울,1,21
2011/01/25 8:50,울산,영해-EEZ,35.60277778,130.2763889,황천4급,운항부주의,충돌,2,23,23,0,0,0,화물선,5321,겨울,1,8
2011/01/25 17:45,군산,영해,36.16666667,126.4166667,양호,운항부주의,추진기이상,1,3,3,0,0,0,어선,4.72,겨울,1,17
2011/01/25 20:00,울산,영해-EEZ,35.37,129.7127778,황천4급,정비불량,기관이상,1,3,3,0,0,0,어선,9.77,겨울,1,20
2011/01/26 5:10,부산,영해,34.85,129.0166667,양호,정비불량,키손상,1,3,3,0,0,0,어선,4.26,겨울,1,5
2011/01/26 14:50,통영,영해,34.67555556,128.7852778,양호,운항부주의,충돌,2,6,6,0,0,0,어선,37,겨울,1,14
2011/01/27 4:17,속초,영해,38.19694444,128.5263889,양호,정비불량,침수,1,2,2,0,0,0,어선,5.43,겨울,1,4
2011/01/27 8:30,목포,영해,34.23333333,125.5833333,양호,운항부주의,전복,1,2,2,0,0,0,어선,21,겨울,1,8
2011/01/27 8:35,통영,영해,34.54861111,128.3738889,양호,정비불량,기관이상,1,3,3,0,0,0,어선,9.77,겨울,1,8
2011/01/27 12:20,여수,협수로,34.52027778,127.1363889,양호,관리소홀,기관이상,1,2,2,0,0,0,어선,1.5,겨울,1,12
2011/01/27 13:00,서귀포,영해-EEZ,33.18888889,127.15,황천4급,정비불량,키손상,1,6,6,0,0,0,어선,9.77,겨울,1,13
2011/01/27 16:30,울산,영해-EEZ,35.55,130.1666667,황천5급,정비불량,기관이상,1,8,8,0,0,0,어선,78,겨울,1,16
2011/01/27 18:00,서귀포,영해-EEZ,32.51666667,126.8666667,황천5급,정비불량,기관이상,1,5,5,0,0,0,어선,8.55,겨울,1,18
2011/01/28 4:50,포항,영해,36.33638889,129.6,황천5급,정비불량,키손상,1,3,3,0,0,0,어선,6.68,겨울,1,4
2011/01/28 11:45,여수,협수로,34.44722222,127.3166667,양호,운항부주의,좌초,1,2,2,0,0,0,어선,4.63,겨울,1,11
2011/01/28 14:42,군산,항계 내,35.97722222,126.5594444,양호,정비불량,기관이상,1,1,1,0,0,0,어선,4.98,겨울,1,14
2011/01/28 16:35,목포,영해,34.31666667,126.15,양호,정비불량,화재,1,18,18,0,0,0,낚시어선,9.77,겨울,1,16
2011/01/28 20:45,통영,항계 내,35.20527778,128.5847222,양호,기타,화재,1,10,10,0,0,0,화물선,9530,겨울,1,20
2011/01/29 1:59,통영,영해,34.81388889,128.3694444,양호,기타,침수,1,1,1,0,0,0,어선,1.99,겨울,1,1
2011/01/29 5:15,통영,영해,34.92388889,128.5208333,양호,운항부주의,운항저해,1,1,1,0,0,0,낚시어선,4.98,겨울,1,5
2011/01/29 11:07,울산,항계 내,35.50444444,129.4,풍랑주의보,운항부주의,충돌,2,21,21,0,0,0,화물선,1587,겨울,1,11
2011/01/30 0:04,통영,항계 내,34.07527778,128.6419444,양호,기타,화재,1,0,0,0,0,0,어선,4.2,겨울,1,0
2011/01/30 5:30,통영,영해,34.54722222,128.3916667,양호,운항부주의,충돌,2,21,21,0,0,0,유조선,1515,겨울,1,5
2011/01/30 14:45,통영,영해,35.03361111,128.6208333,양호,운항부주의,충돌,1,3,3,0,0,0,어선,4.99,겨울,1,14
2011/01/31 7:00,여수,항계 내,34.46583333,127.4530556,양호,기타,침수,1,0,0,0,0,0,어선,4.97,겨울,1,7
2011/01/31 8:00,울산,EEZ-30마일 이내,35.46111111,130.7583333,황천4급,정비불량,키손상,1,4,4,0,0,0,어선,22,겨울,1,8
2011/01/31 9:55,울산,EEZ-30마일 이내,35.24166667,130.5333333,황천4급,정비불량,기관이상,1,8,8,0,0,0,어선,79,겨울,1,9
2011/02/02 6:49,통영,영해,34.88722222,128.4211111,양호,관리소홀,추진기이상,1,1,1,0,0,0,어선,3.73,겨울,2,6
2011/02/02 12:13,부산,영해,35.14916667,129.1677778,양호,정비불량,기관이상,1,9,9,0,0,0,모터보트,1,겨울,2,12
2011/02/02 12:40,여수,협수로,34.39722222,127.0666667,양호,정비불량,기관이상,1,1,1,0,0,0,요트,2,겨울,2,12
2011/02/03 10:20,제주,항계 내,33.4,126.2611111,양호,관리소홀,침수,1,0,0,0,0,0,어선,3.11,겨울,2,10
2011/02/04 14:30,군산,영해,35.85277778,126.35,저시정,연료고갈,표류,1,5,5,0,0,0,모터보트,0.5,겨울,2,14
2011/02/04 16:40,군산,영해,35.83333333,126.4333333,저시정,연료고갈,표류,1,4,4,0,0,0,어선,2.7,겨울,2,16
2011/02/05 14:00,통영,영해,34.74888889,128.5325,양호,정비불량,기관이상,1,8,8,0,0,0,낚시어선,4.99,겨울,2,14
2011/02/05 14:10,속초,영해,37.89166667,128.8527778,양호,운항부주의,표류,1,1,0,0,1,0,어선,1.68,겨울,2,14
2011/02/05 14:45,울산,영해-EEZ,35.2875,129.7361111,황천5급,운항부주의,추진기이상,1,5,5,0,0,0,어선,9.77,겨울,2,14
2011/02/06 8:00,울산,영해-EEZ,35.45277778,130.2388889,황천5급,정비불량,기관이상,1,4,4,0,0,0,어선,35,겨울,2,8
2011/02/06 13:01,포항,항계 내,36.68055556,129.4602778,양호,기타,화재,1,0,0,0,0,0,어선,4.99,겨울,2,13
2011/02/08 8:48,동해,영해,37.2,129.45,양호,기타,기관이상,1,2,2,0,0,0,어선,2.93,겨울,2,8
2011/02/08 21:05,울산,영해-EEZ,35.35,129.65,황천5급,정비불량,기관이상,1,4,4,0,0,0,어선,29,겨울,2,21
2011/02/09 1:30,서귀포,공해,30.43333333,125.7166667,양호,운항부주의,추진기이상,1,13,13,0,0,0,어선,29,겨울,2,1
